Time (abs), P1 (atm), SetP1 (atm), Rate (Hz) 
12:57.4,198.29,200,257.08
12:57.4,198.26,200,258.73
12:57.4,198.26,200,256.67
12:57.4,198.27,200,260.38
12:57.5,198.26,200,260.38
12:57.5,198.29,200,258.96
12:57.5,198.29,200,260.51
12:57.5,198.3,200,256.58
12:57.5,198.3,200,257.08
12:57.6,198.3,200,255.07
12:57.6,198.3,200,255.16
12:57.6,198.32,200,255.16
12:57.6,198.32,200,255.25
12:57.6,198.32,200,252.55
12:57.7,198.3,200,252.55
12:57.7,198.31,200,252.37
12:57.7,198.31,200,254.52
12:57.7,198.31,200,253.05
12:57.7,198.32,200,253.05
12:57.8,198.31,200,253.51
12:57.8,198.32,200,252.23
12:57.8,198.31,200,254.01
12:57.8,198.31,200,251.59
12:57.8,198.32,200,253.37
12:57.9,198.33,200,253.37
12:57.9,198.33,200,251.77
12:57.9,198.34,200,250.95
12:57.9,198.35,200,250.95
12:57.9,198.36,200,249.07
12:58.0,198.33,200,247.79
12:58.0,198.33,200,246.05
12:58.0,198.36,200,250.21
12:58.0,198.36,200,250.21
12:58.1,198.36,200,246.19
12:58.1,198.35,200,246.69
12:58.1,198.35,200,246.23
12:58.1,198.35,200,246.78
12:58.1,198.35,200,247.19
12:58.2,198.36,200,247.19
12:58.2,198.36,200,248.25
12:58.2,198.36,200,246.41
12:58.2,198.35,200,245.54
12:58.2,198.35,200,245.54
